Date,Price,Open,High,Low,Change %
11/01/2024,0.025,0.025,0.025,0.025,0.00%
10/31/2024,0.025,0.025,0.025,0.025,19.05%
10/30/2024,0.021,0.021,0.021,0.021,-73.75%
10/29/2024,0.08,0.025,0.025,0.025,14.29%
10/28/2024,0.07,0.015,0.015,0.015,16.67%
10/25/2024,0.06,0.007,0.007,0.007,0.00%
10/24/2024,0.06,0.007,0.007,0.007,0.00%
10/23/2024,0.06,0.007,0.007,0.007,0.00%
10/22/2024,0.06,0.005,0.005,0.005,-3100.00%
10/21/2024,-0.002,-0.002,0.002,-0.002,-125.00%
10/18/2024,0.008,-0.002,0.013,0.001,-500.00%
10/17/2024,-0.002,-0.002,0.001,-0.002,0.00%
10/16/2024,-0.002,-0.002,0.008,-0.002,0.00%
10/15/2024,-0.002,-0.002,0.033,-0.002,-106.06%
10/14/2024,0.033,0.033,0.033,0.033,-147.14%
10/11/2024,-0.07,0.038,0.038,-0.07,-433.33%
10/10/2024,0.021,0.038,0.038,-0.072,-44.74%
10/09/2024,0.038,0.038,0.038,-0.005,0.00%
10/08/2024,0.038,0.026,0.038,0.008,-860.00%
10/07/2024,-0.005,0.026,0.026,-0.007,-115.62%
10/04/2024,0.032,0.038,0.035,0.032,-15.79%
10/03/2024,0.038,0.038,0.038,0.033,8.57%
10/02/2024,0.035,0.038,0.038,0.035,0.00%
10/01/2024,0.035,0.038,0.038,0.033,16.67%
09/30/2024,0.03,0.03,0.033,0.03,-44.44%
09/27/2024,0.054,0.053,0.063,0.05,1.89%
09/26/2024,0.053,0.053,0.053,0.05,-255.88%
09/25/2024,-0.034,-0.034,0.053,-0.034,-164.15%
09/24/2024,0.053,0.053,0.083,0.051,-36.14%
09/23/2024,0.083,0.083,0.083,0.083,53.70%
09/20/2024,0.054,0.073,0.054,0.053,-10.00%
09/19/2024,0.06,0.073,0.075,0.06,-11.76%
09/18/2024,0.068,0.068,0.075,0.068,-15.00%
09/17/2024,0.08,0.08,0.098,0.067,-18.37%
09/16/2024,0.098,0.098,0.098,0.098,6.52%
09/13/2024,0.092,0.108,0.108,0.09,-14.81%
09/12/2024,0.108,0.108,0.108,0.078,0.00%
09/11/2024,0.108,0.108,0.108,0.081,9.09%
09/10/2024,0.099,0.108,0.108,0.078,-1.00%
09/06/2024,0.1,0.103,0.103,0.098,0.00%
09/05/2024,0.1,0.103,0.103,0.1,-2.91%
09/04/2024,0.103,0.103,0.103,0.1,3.00%
09/03/2024,0.1,0.103,0.103,0.093,7.53%
09/02/2024,0.093,0.093,0.095,0.09,-10.58%
08/30/2024,0.104,0.098,0.113,0.103,6.12%
08/29/2024,0.098,0.098,0.113,0.098,63.33%
08/28/2024,0.06,0.068,0.068,0.06,-4.76%
08/27/2024,0.063,0.063,0.063,0.05,18.87%
08/26/2024,0.053,0.053,0.053,0.053,-48.54%
08/23/2024,0.103,0.016,0.11,0.103,543.75%
08/22/2024,0.016,0.016,0.113,0.016,-85.84%
08/21/2024,0.113,0.113,0.113,0.11,0.00%
08/20/2024,0.113,0.113,0.113,0.108,0.00%
08/19/2024,0.113,0.113,0.113,0.11,-5.83%
08/16/2024,0.12,0.12,0.123,0.119,0.00%
08/15/2024,0.12,0.12,0.123,0.12,18.81%
08/14/2024,0.101,0.101,0.123,0.101,8.60%
08/13/2024,0.093,0.093,0.093,0.092,-24.39%
08/12/2024,0.123,0.123,0.123,0.123,25.51%
08/09/2024,0.098,0.103,0.103,0.083,-4.85%
08/08/2024,0.103,0.103,0.103,0.07,0.00%
08/07/2024,0.103,0.103,0.103,0.07,0.00%
08/06/2024,0.103,0.103,0.103,0.071,41.10%
08/05/2024,0.073,0.073,0.114,0.071,-50.34%
08/02/2024,0.147,0.153,0.15,0.048,-3.92%
08/01/2024,0.153,0.153,0.153,0.063,73.86%
07/31/2024,0.088,0.088,0.153,0.05,-331.58%
07/30/2024,-0.038,-0.038,0.057,-0.038,-176.00%
07/29/2024,0.05,0.057,0.057,0.05,-1.96%
07/26/2024,0.051,0.058,0.053,0.046,-12.07%
07/25/2024,0.058,0.058,0.058,0.049,190.00%
07/24/2024,0.02,0.02,0.028,0.02,0.00%
07/23/2024,0.02,0.02,0.023,0.02,0.00%
07/22/2024,0.02,0.02,0.029,0.02,-9.09%
07/19/2024,0.022,0.014,0.023,0.014,57.14%
07/18/2024,0.014,0.014,0.017,0.014,0.00%
07/17/2024,0.014,0.014,0.016,0.014,0.00%
07/16/2024,0.014,0.014,0.017,0.014,-70.83%
07/15/2024,0.048,0.048,0.048,0.048,300.00%
07/12/2024,0.012,0.01,0.017,0.01,20.00%
07/11/2024,0.01,0.01,0.013,0.01,0.00%
07/10/2024,0.01,0.01,0.013,0.01,0.00%
07/09/2024,0.01,0.01,0.013,0.01,0.00%
07/08/2024,0.01,0.03,0.012,0.009,-16.67%
07/05/2024,0.012,0.04,0.013,0.012,-33.33%
07/04/2024,0.018,0.038,0.02,0.013,-5.26%
07/03/2024,0.019,0.038,0.023,0.019,0.00%
07/02/2024,0.019,0.04,0.023,0.019,11.76%
07/01/2024,0.017,0.037,0.023,0.017,0.00%
06/30/2024,0.017,0.037,0.017,0.017,-22.73%
06/28/2024,0.022,0.045,0.025,0.021,-12.00%
06/27/2024,0.025,0.045,0.028,0.025,-16.67%
06/26/2024,0.03,0.05,0.03,0.026,0.00%
06/25/2024,0.03,0.05,0.033,0.03,500.00%
06/24/2024,0.005,0.03,0.033,0.005,-16.67%
06/21/2024,0.006,0.04,0.032,0.006,-81.25%
06/20/2024,0.032,0.04,0.032,-0.024,0.00%
06/19/2024,0.032,0.04,0.032,0,0.00%
06/18/2024,0.032,0.04,0.032,-0.024,0.00%
06/17/2024,0.032,0.04,0.032,-0.039,-182.05%
06/14/2024,-0.039,0.046,0.008,-0.039,-316.67%
06/13/2024,0.018,0.038,0.028,0.018,0.00%
06/12/2024,0.018,0.037,0.019,0.017,5.88%
06/11/2024,0.017,0.038,0.018,0.017,-5.56%
06/10/2024,0.018,0.038,0.033,0.018,-40.00%
06/07/2024,0.03,0.033,0.033,0.028,0.00%
06/06/2024,0.03,0.035,0.033,0.03,-9.09%
06/05/2024,0.033,0.035,0.033,0.03,10.00%
06/04/2024,0.03,0.035,0.033,0.03,-9.09%
06/03/2024,0.033,0.035,0.033,0.03,-144.00%
05/31/2024,-0.075,0.02,0.028,-0.075,-327.27%
05/30/2024,0.033,0.02,0.033,0.015,0.00%
05/29/2024,0.033,0.02,0.033,0.015,83.33%
05/28/2024,0.018,0.02,0.018,0.015,0.00%
05/27/2024,0.018,0.02,0.018,0.013,-50.00%
05/24/2024,0.036,0.067,0.038,0.036,2.86%
05/23/2024,0.035,0.055,0.038,0.035,0.00%
05/22/2024,0.035,0.072,0.036,0.035,2.94%
05/21/2024,0.034,0.038,0.038,0.034,0.00%
05/20/2024,0.034,0.054,0.038,0.034,30.77%
05/17/2024,0.026,0.058,0.038,0.026,0.00%
05/16/2024,0.026,0.05,0.033,0.026,0.00%
05/15/2024,0.026,0.06,0.028,0.025,4.00%
05/14/2024,0.025,0.06,0.033,0.025,-3.85%
05/13/2024,0.026,0.031,0.033,0.026,-33.33%
05/10/2024,0.039,0.07,0.04,0.035,14.71%
05/09/2024,0.034,0.062,0.042,0.034,0.00%
05/08/2024,0.034,0.053,0.039,0.033,-2.86%
05/07/2024,0.035,0.055,0.035,0.032,66.67%
05/02/2024,0.021,0.053,0.023,0.02,5.00%
05/01/2024,0.02,0.049,0.023,0.02,0.00%
04/30/2024,0.02,0.04,0.073,0.02,0.00%
04/26/2024,0.02,0.049,0.023,0.02,0.00%
04/25/2024,0.02,0.049,0.023,0.02,11.11%
04/24/2024,0.018,0.049,0.023,0.018,80.00%
04/23/2024,0.01,0.04,0.023,0.01,42.86%
04/22/2024,0.007,0.026,0.013,0.005,-58.82%
04/19/2024,0.017,0.048,0.017,0.008,0.00%
04/18/2024,0.017,0.048,0.018,-0.075,41.67%
04/17/2024,0.012,0.033,0.028,0.01,20.00%
04/16/2024,0.01,0.04,0.013,-0.075,-23.08%
04/15/2024,0.013,0.05,0.028,0.012,0.00%
04/12/2024,0,0.022,0,-0.002,0.00%
04/11/2024,0,0.022,0,-0.002,0.00%
04/10/2024,0,0.022,0,-0.002,0.00%
04/09/2024,0,0.022,0,-0.002,0.00%
04/08/2024,0,0.022,0.022,-0.002,-100.00%
04/05/2024,-0.002,0.041,0.013,-0.002,-112.50%
04/04/2024,0.016,0.024,0.027,-0.002,-164.00%
04/03/2024,-0.025,-0.014,-0.002,-0.044,-46.81%
04/02/2024,-0.047,-0.04,-0.038,-0.053,6.82%
04/01/2024,-0.044,-0.04,-0.04,-0.051,-21.43%
03/29/2024,-0.056,-0.02,-0.041,-0.056,-6.67%
03/28/2024,-0.06,-0.02,-0.046,-0.062,0.00%
03/27/2024,-0.06,-0.021,-0.041,-0.062,0.00%
03/26/2024,-0.06,-0.021,-0.041,-0.06,-1.64%
03/25/2024,-0.061,-0.002,-0.033,-0.061,408.33%
03/22/2024,-0.012,-0.02,-0.012,-0.024,0.00%
03/21/2024,-0.012,0.005,0.001,-0.014,100.00%
03/19/2024,-0.006,0.01,0.005,-0.012,-175.00%
03/18/2024,0.008,0.005,0.008,0.001,-155.17%
03/17/2024,-0.014,-0.014,-0.014,-0.014,-25.64%
03/15/2024,-0.02,-0.039,0.007,-0.09,-62.14%
03/14/2024,-0.052,-0.049,-0.04,-0.052,0.00%
03/13/2024,-0.052,-0.049,-0.049,-0.052,0.00%
03/12/2024,-0.052,-0.055,-0.036,-0.056,-8.85%
03/11/2024,-0.056,-0.056,-0.038,-0.056,0.00%
03/10/2024,-0.056,-0.056,-0.056,-0.056,-41.45%
03/08/2024,-0.097,-0.095,-0.056,-0.097,0.00%
03/07/2024,-0.097,-0.095,-0.094,-0.097,0.00%
03/06/2024,-0.097,-0.094,-0.092,-0.097,0.00%
03/05/2024,-0.097,-0.096,-0.092,-0.097,1.05%
03/04/2024,-0.095,-0.097,-0.095,-0.097,-1.04%
03/03/2024,-0.097,-0.097,-0.097,-0.097,-9.39%
03/01/2024,-0.106,-0.102,-0.1,-0.134,-20.52%
02/29/2024,-0.134,-0.106,-0.104,-0.134,25.82%
02/28/2024,-0.106,-0.101,-0.088,-0.106,4.93%
02/27/2024,-0.101,-0.098,-0.097,-0.101,5.18%
02/26/2024,-0.097,-0.098,-0.097,-0.099,0.00%
02/25/2024,-0.097,-0.097,-0.097,-0.097,-29.30%
02/22/2024,-0.137,-0.134,-0.115,-0.137,0.00%
02/21/2024,-0.137,-0.114,-0.114,-0.137,17.17%
02/20/2024,-0.116,-0.114,-0.114,-0.116,0.00%
02/19/2024,-0.116,-0.114,-0.114,-0.116,2.19%
02/18/2024,-0.114,-0.116,-0.114,-0.116,-2.15%
02/16/2024,-0.116,-0.114,-0.114,-0.116,0.00%
02/15/2024,-0.116,-0.114,-0.114,-0.116,0.00%
02/14/2024,-0.116,-0.119,-0.114,-0.119,0.00%
02/13/2024,-0.116,-0.119,-0.116,-0.144,-4.12%
02/12/2024,-0.122,-0.122,-0.122,-0.122,-14.13%
02/09/2024,-0.141,-0.137,-0.109,-0.141,0.00%
02/08/2024,-0.141,-0.137,-0.137,-0.141,0.00%
02/07/2024,-0.141,-0.137,-0.137,-0.141,0.00%
02/06/2024,-0.141,-0.139,-0.135,-0.141,0.00%
02/05/2024,-0.141,-0.136,-0.136,-0.141,0.00%
02/04/2024,-0.141,-0.141,-0.141,-0.141,-6.60%
02/02/2024,-0.152,-0.139,-0.139,-0.152,0.00%
02/01/2024,-0.152,-0.147,-0.139,-0.152,0.00%
01/31/2024,-0.152,-0.171,-0.149,-0.171,1.00%
01/30/2024,-0.15,-0.171,-0.15,-0.171,-12.54%
01/29/2024,-0.171,-0.169,-0.151,-0.171,6.19%
01/28/2024,-0.162,-0.162,-0.162,-0.162,0.94%
01/26/2024,-0.16,-0.162,-0.16,-0.164,-0.93%
01/25/2024,-0.162,-0.182,-0.161,-0.182,-11.02%
01/24/2024,-0.182,-0.184,-0.179,-0.186,-2.42%
01/23/2024,-0.186,-0.185,-0.185,-0.186,0.00%
01/22/2024,-0.186,-0.186,-0.185,-0.186,0.00%
01/21/2024,-0.186,-0.186,-0.186,-0.186,0.00%
01/19/2024,-0.186,-0.206,-0.185,-0.206,-9.69%
01/18/2024,-0.206,-0.214,-0.197,-0.294,-12.68%
01/17/2024,-0.236,-0.212,-0.212,-0.236,0.00%
01/16/2024,-0.236,-0.231,-0.219,-0.236,2.16%
01/15/2024,-0.231,-0.216,-0.215,-0.231,2.21%
01/14/2024,-0.227,-0.227,-0.227,-0.227,13.53%
01/12/2024,-0.199,-0.201,-0.199,-0.201,0.00%
01/11/2024,-0.199,-0.201,-0.199,-0.201,0.00%
01/10/2024,-0.199,-0.201,-0.199,-0.201,-0.99%
01/09/2024,-0.201,-0.189,-0.186,-0.201,8.04%
01/08/2024,-0.186,-0.186,-0.186,-0.186,-7.44%
01/05/2024,-0.201,-0.209,-0.189,-0.209,0.00%
01/04/2024,-0.201,-0.212,-0.201,-0.212,-4.73%
01/03/2024,-0.212,-0.212,-0.212,-0.212,-4.51%
12/29/2023,-0.221,-0.215,-0.212,-0.221,-0.45%
12/28/2023,-0.222,-0.221,-0.221,-0.222,0.45%
12/27/2023,-0.221,-0.216,-0.216,-0.221,0.00%
12/26/2023,-0.221,-0.221,-0.221,-0.221,0.00%
12/25/2023,-0.221,-0.219,-0.219,-0.221,0.00%
12/24/2023,-0.221,-0.221,-0.221,-0.221,18.77%
12/22/2023,-0.186,-0.209,-0.167,-0.244,0.00%
12/21/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/20/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/19/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/18/2023,-0.186,-0.209,-0.186,-0.209,0.00%
12/17/2023,-0.186,-0.186,-0.186,-0.186,19.17%
12/15/2023,-0.156,-0.155,-0.155,-0.156,0.00%
12/14/2023,-0.156,-0.157,-0.156,-0.244,-35.99%
12/13/2023,-0.244,-0.156,-0.155,-0.244,56.23%
12/12/2023,-0.156,-0.149,-0.149,-0.156,0.00%
12/11/2023,-0.156,-0.149,-0.144,-0.156,0.00%
12/10/2023,-0.156,-0.156,-0.156,-0.156,0.00%
12/08/2023,-0.156,-0.162,-0.156,-0.162,-3.10%
12/07/2023,-0.162,-0.159,-0.159,-0.254,0.00%
12/06/2023,-0.162,-0.159,-0.147,-0.162,0.00%
12/05/2023,-0.162,-0.159,-0.147,-0.162,0.00%
12/04/2023,-0.162,-0.167,-0.146,-0.167,-3.00%
12/03/2023,-0.167,-0.167,-0.167,-0.167,0.00%
12/01/2023,-0.167,-0.164,-0.152,-0.167,0.00%
11/30/2023,-0.167,-0.212,-0.152,-0.212,-20.33%
11/29/2023,-0.209,-0.212,-0.209,-0.212,-1.18%
11/28/2023,-0.212,-0.208,-0.189,-0.216,-2.31%
11/27/2023,-0.216,-0.212,-0.209,-0.221,-2.26%
11/26/2023,-0.221,-0.221,-0.221,-0.221,-18.42%
11/24/2023,-0.271,-0.269,-0.229,-0.271,0.00%
11/23/2023,-0.271,-0.271,-0.271,-0.271,0.00%
11/22/2023,-0.271,-0.269,-0.266,-0.271,0.00%
11/21/2023,-0.271,-0.269,-0.269,-0.271,0.00%
11/20/2023,-0.271,-0.252,-0.252,-0.271,0.00%
11/19/2023,-0.271,-0.271,-0.271,-0.271,28.37%
11/17/2023,-0.212,-0.247,-0.212,-0.247,-13.50%
11/16/2023,-0.244,-0.247,-0.244,-0.247,0.00%
11/15/2023,-0.244,-0.247,-0.244,-0.247,-0.81%
11/14/2023,-0.247,-0.236,-0.236,-0.247,4.23%
11/13/2023,-0.236,-0.221,-0.221,-0.236,6.77%
11/12/2023,-0.221,-0.221,-0.221,-0.221,10.20%
11/10/2023,-0.201,-0.201,-0.201,-0.201,7.77%
11/09/2023,-0.186,-0.201,-0.186,-0.206,0.00%
11/08/2023,-0.186,-0.201,-0.186,-0.203,-6.98%
11/07/2023,-0.2,-0.201,-0.2,-0.201,-0.50%
11/06/2023,-0.201,-0.189,-0.189,-0.202,0.00%
11/05/2023,-0.201,-0.201,-0.201,-0.201,1.00%
11/02/2023,-0.199,-0.199,-0.199,-0.199,0.00%
11/01/2023,-0.199,-0.201,-0.199,-0.201,0.00%
